Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,PLR_ID,PLR_NAME,BEZ,STAND,GROESSE_M2
,,,,,,"-1","0","-1",,,"03200310",Krugpfuhl,"03",01.01.2021,2267490.053
,,,,,,"-1","0","-1",,,"09200614",Oberspree,"09",01.01.2021,1072394.942
,,,,,,"-1","0","-1",,,"01200629",Hansaviertel,"01",01.01.2021,534709.38
,,,,,,"-1","0","-1",,,"01100308",Charitéviertel,"01",01.01.2021,1682606.662
,,,,,,"-1","0","-1",,,"08200624",Tempelhofer Weg,"08",01.01.2021,1189601.201
,,,,,,"-1","0","-1",,,"05100314",Kurstraße,"05",01.01.2021,475094.232
,,,,,,"-1","0","-1",,,"11200515",Weiße Taube,"11",01.01.2021,1033881.811
,,,,,,"-1","0","-1",,,"04300412",Schlossgarten,"04",01.01.2021,1261028.946
,,,,,,"-1","0","-1",,,"06200418",Landweg,"06",01.01.2021,1105430.596
,,,,,,"-1","0","-1",,,"11401034",Tierpark,"11",01.01.2021,1733231.062
,,,,,,"-1","0","-1",,,"12500825",Borsigwalde,"12",01.01.2021,1849143.867
,,,,,,"-1","0","-1",,,"06300633",Augustaplatz,"06",01.01.2021,1667886.653
,,,,,,"-1","0","-1",,,"01100205",Wilhelmstraße,"01",01.01.2021,634642.165
,,,,,,"-1","0","-1",,,"02100105",Prinzenstraße,"02",01.01.2021,423358.266
,,,,,,"-1","0","-1",,,"08100521",Schulenburgpark,"08",01.01.2021,2197546.314
,,,,,,"-1","0","-1",,,"05300838",Gartenfeld,"05",01.01.2021,934726.135
,,,,,,"-1","0","-1",,,"09401330",Wendenschloß,"09",01.01.2021,964266.27
,,,,,,"-1","0","-1",,,"03200309",Eddastraße,"03",01.01.2021,3067550.203
,,,,,,"-1","0","-1",,,"09100408",Johannisthal Ost,"09",01.01.2021,766677.209
,,,,,,"-1","0","-1",,,"04100101",Jungfernheide/Plötzensee,"04",01.01.2021,5250473.344
,,,,,,"-1","0","-1",,,"03601142",Falkplatz,"03",01.01.2021,907509.179
,,,,,,"-1","0","-1",,,"03400831",Pankower Tor,"03",01.01.2021,534831.009
,,,,,,"-1","0","-1",,,"05100209",Westerwaldstraße,"05",01.01.2021,747050.619
,,,,,,"-1","0","-1",,,"02200213",Graefekiez Nord,"02",01.01.2021,592499.911
